route_id,from_node_id,to_node_id,transport_mode,distance_km,base_cost_usd,fuel_sensitivity,capacity_units,transit_time_hours
R_00036,NODE_0249,NODE_0008,Truck,8819,1229,0.53,2548,143
R_00037,NODE_0140,NODE_0274,Rail,380,1128,0.37,16109,214
R_00038,NODE_0091,NODE_0054,Truck,8691,404,0.5,19250,72
R_00039,NODE_0181,NODE_0136,Rail,1394,864,0.39,17040,152
R_00040,NODE_0124,NODE_0115,Rail,11307,265,0.35,3038,31
R_00041,NODE_0207,NODE_0194,Rail,9155,1074,0.26,2309,187
R_00042,NODE_0087,NODE_0042,Rail,7209,1420,0.37,5124,237
R_00043,NODE_0270,NODE_0021,Truck,3563,1260,0.55,3525,27
R_00044,NODE_0143,NODE_0278,Sea,10882,167,0.18,12305,12
R_00045,NODE_0106,NODE_0073,Sea,6625,257,0.19,9879,153
R_00046,NODE_0199,NODE_0276,Rail,6388,386,0.37,4569,136
R_00047,NODE_0177,NODE_0027,Truck,7261,575,0.62,13160,162
R_00048,NODE_0203,NODE_0167,Truck,10489,659,0.61,16763,133
R_00049,NODE_0116,NODE_0182,Sea,6250,984,0.18,14454,29
R_00050,NODE_0151,NODE_0126,Sea,1304,268,0.19,14451,190
R_00051,NODE_0078,NODE_0199,Rail,6009,318,0.26,12101,121
R_00052,NODE_0184,NODE_0138,Truck,2270,278,0.49,16707,150
R_00053,NODE_0284,NODE_0262,Rail,1792,153,0.26,5049,160
R_00054,NODE_0166,NODE_0197,Truck,4881,947,0.53,4775,193
R_00055,NODE_0286,NODE_0124,Sea,8637,447,0.25,7554,43
R_00056,NODE_0137,NODE_0154,Rail,8179,398,0.26,16243,78
R_00057,NODE_0215,NODE_0153,Rail,1360,839,0.29,10080,192
R_00058,NODE_0253,NODE_0100,Rail,1852,377,0.3,14966,93
R_00059,NODE_0194,NODE_0168,Rail,5584,981,0.37,6460,84
R_00060,NODE_0164,NODE_0102,Rail,5247,463,0.39,12457,82
R_00061,NODE_0251,NODE_0294,Truck,5439,870,0.51,14875,101
R_00062,NODE_0058,NODE_0288,Truck,9803,1217,0.49,2881,194
R_00063,NODE_0236,NODE_0107,Rail,4873,241,0.37,15406,180
R_00064,NODE_0255,NODE_0071,Sea,5061,595,0.19,7050,191
R_00065,NODE_0216,NODE_0193,Truck,7457,1324,0.55,15133,144
R_00066,NODE_0259,NODE_0214,Sea,702,836,0.26,19593,160
R_00067,NODE_0043,NODE_0055,Truck,10874,1461,0.52,3451,152
R_00068,NODE_0204,NODE_0169,Rail,1835,121,0.26,9274,138
R_00069,NODE_0265,NODE_0285,Sea,11366,1278,0.18,14259,108
R_00070,NODE_0237,NODE_0256,Truck,5751,150,0.55,11680,114
R_00071,NODE_0043,NODE_0059,Sea,2421,813,0.2,16920,208
R_00072,NODE_0105,NODE_0266,Rail,5806,1075,0.26,16825,89
R_00073,NODE_0034,NODE_0153,Truck,11745,335,0.45,13241,173
R_00074,NODE_0055,NODE_0084,Sea,4096,1156,0.18,7247,92
R_00075,NODE_0286,NODE_0218,Rail,3898,929,0.34,8107,171
R_00076,NODE_0221,NODE_0202,Truck,10161,504,0.54,16075,107
R_00077,NODE_0002,NODE_0109,Truck,4660,228,0.57,19592,55
R_00078,NODE_0187,NODE_0166,Truck,7596,333,0.5,18039,143
R_00079,NODE_0160,NODE_0198,Sea,6531,1302,0.17,13533,224
R_00080,NODE_0234,NODE_0088,Sea,11666,709,0.29,4777,180
R_00081,NODE_0068,NODE_0160,Truck,4008,725,0.47,14232,185
R_00082,NODE_0072,NODE_0261,Rail,6952,1321,0.27,14573,116
R_00083,NODE_0095,NODE_0249,Sea,8904,1421,0.29,7676,150
R_00084,NODE_0085,NODE_0250,Rail,2398,483,0.3,16778,166
R_00085,NODE_0027,NODE_0183,Truck,8039,379,0.49,14581,151
R_00086,NODE_0258,NODE_0253,Rail,11318,1107,0.31,16544,133
R_00087,NODE_0085,NODE_0042,Sea,605,551,0.19,11006,65
R_00088,NODE_0275,NODE_0147,Truck,7592,1258,0.6,18230,148
R_00089,NODE_0261,NODE_0057,Sea,1971,648,0.27,14021,146
R_00090,NODE_0021,NODE_0225,Sea,3680,970,0.17,10111,84
R_00091,NODE_0016,NODE_0230,Rail,5811,278,0.32,5846,206
R_00092,NODE_0121,NODE_0107,Sea,9732,818,0.28,16030,50
R_00093,NODE_0071,NODE_0105,Truck,1072,1267,0.52,11210,160
R_00094,NODE_0275,NODE_0086,Rail,11635,699,0.29,10760,227
R_00095,NODE_0263,NODE_0048,Truck,6843,221,0.65,6157,187
R_00096,NODE_0067,NODE_0127,Truck,11755,759,0.62,14868,133
R_00097,NODE_0072,NODE_0295,Sea,4502,1385,0.21,16810,27
R_00098,NODE_0047,NODE_0206,Sea,4658,855,0.22,17992,91
R_00099,NODE_0297,NODE_0001,Sea,1626,1038,0.25,13738,225
R_00100,NODE_0032,NODE_0273,Rail,3668,979,0.37,18210,76
R_00101,NODE_0165,NODE_0145,Rail,9067,1283,0.27,17903,209
R_00102,NODE_0175,NODE_0024,Truck,1731,1382,0.61,17059,12
R_00103,NODE_0063,NODE_0080,Rail,7579,101,0.4,16018,59
R_00104,NODE_0067,NODE_0154,Truck,4589,291,0.58,10204,29
R_00105,NODE_0190,NODE_0084,Truck,6593,1381,0.51,9672,117
R_00106,NODE_0046,NODE_0048,Truck,3596,1076,0.47,9411,140
R_00107,NODE_0227,NODE_0004,Truck,11496,803,0.61,15838,185
R_00108,NODE_0067,NODE_0244,Truck,3851,884,0.47,5356,34
R_00109,NODE_0160,NODE_0188,Rail,2346,883,0.37,6362,172
R_00110,NODE_0073,NODE_0035,Sea,9328,117,0.24,7377,120
R_00111,NODE_0179,NODE_0109,Sea,2580,943,0.24,16496,228
R_00112,NODE_0111,NODE_0044,Truck,2393,352,0.57,14583,97
R_00113,NODE_0219,NODE_0161,Truck,4159,667,0.58,10131,149
R_00114,NODE_0145,NODE_0013,Sea,5042,520,0.23,18696,56
R_00115,NODE_0200,NODE_0151,Sea,994,590,0.22,5694,69
R_00116,NODE_0255,NODE_0036,Sea,297,839,0.29,6324,107
R_00117,NODE_0291,NODE_0215,Rail,9051,1498,0.28,17434,205
R_00118,NODE_0037,NODE_0008,Sea,1206,128,0.19,3305,23
R_00119,NODE_0203,NODE_0259,Rail,10398,1126,0.37,15879,187
R_00120,NODE_0205,NODE_0042,Sea,8891,1201,0.24,11092,29
R_00121,NODE_0158,NODE_0040,Sea,3429,418,0.23,14803,158
R_00122,NODE_0033,NODE_0158,Sea,7267,588,0.16,4825,119
R_00123,NODE_0059,NODE_0232,Sea,10075,212,0.2,7755,38
R_00124,NODE_0006,NODE_0070,Sea,285,435,0.22,13360,141
R_00125,NODE_0264,NODE_0132,Truck,6192,359,0.6,10806,195
R_00126,NODE_0060,NODE_0015,Rail,7134,657,0.33,10616,190
R_00127,NODE_0295,NODE_0039,Rail,7557,1146,0.3,18371,227
R_00128,NODE_0290,NODE_0085,Rail,2677,622,0.37,5779,66
R_00129,NODE_0260,NODE_0001,Truck,301,600,0.46,13926,106
R_00130,NODE_0076,NODE_0091,Truck,9158,1442,0.53,12544,71
R_00131,NODE_0213,NODE_0163,Rail,1376,1270,0.31,18450,180
R_00132,NODE_0026,NODE_0091,Truck,8550,194,0.64,4258,232
R_00133,NODE_0238,NODE_0144,Rail,5462,276,0.33,2261,102
R_00134,NODE_0102,NODE_0149,Sea,5079,1375,0.19,14067,159
R_00135,NODE_0252,NODE_0100,Sea,9054,602,0.17,15436,14
R_00136,NODE_0119,NODE_0277,Rail,10519,119,0.39,2047,202
R_00137,NODE_0192,NODE_0157,Truck,3461,1185,0.65,15756,133
R_00138,NODE_0030,NODE_0072,Sea,4684,290,0.16,9584,237
R_00139,NODE_0266,NODE_0211,Sea,6202,1038,0.3,4782,156
R_00140,NODE_0048,NODE_0258,Truck,10540,907,0.46,4040,119
R_00141,NODE_0066,NODE_0121,Rail,4376,745,0.39,14876,187
R_00142,NODE_0167,NODE_0162,Rail,4555,578,0.26,8642,42
R_00143,NODE_0299,NODE_0055,Truck,1831,436,0.54,12290,112
R_00144,NODE_0061,NODE_0274,Rail,3501,1025,0.3,10683,226
R_00145,NODE_0061,NODE_0046,Truck,11340,723,0.62,3321,63
R_00146,NODE_0167,NODE_0075,Truck,11751,608,0.64,14984,139
R_00147,NODE_0025,NODE_0153,Rail,2948,163,0.39,16817,150
R_00148,NODE_0281,NODE_0127,Truck,7670,308,0.61,6580,39
R_00149,NODE_0006,NODE_0031,Truck,2241,505,0.61,14197,183
R_00150,NODE_0043,NODE_0298,Sea,4340,253,0.15,4112,58
R_00151,NODE_0227,NODE_0065,Truck,5532,350,0.46,17105,20
R_00152,NODE_0086,NODE_0293,Rail,11969,908,0.32,14541,182
R_00153,NODE_0218,NODE_0088,Rail,3617,483,0.29,16614,234
R_00154,NODE_0076,NODE_0017,Sea,10244,1363,0.19,11670,135
R_00155,NODE_0210,NODE_0281,Rail,1099,279,0.29,6496,115
R_00156,NODE_0102,NODE_0269,Truck,10434,1213,0.61,14533,208
R_00157,NODE_0183,NODE_0245,Sea,8040,804,0.29,18462,90
R_00158,NODE_0198,NODE_0138,Truck,527,753,0.57,2960,237
R_00159,NODE_0143,NODE_0029,Rail,8774,832,0.37,9627,48
R_00160,NODE_0051,NODE_0126,Sea,4051,645,0.23,3832,203
R_00161,NODE_0112,NODE_0294,Rail,5913,455,0.28,12420,214
R_00162,NODE_0183,NODE_0014,Sea,11577,820,0.29,6656,152
R_00163,NODE_0096,NODE_0252,Sea,5163,459,0.22,4957,22
R_00164,NODE_0119,NODE_0112,Truck,8725,1078,0.45,8601,214
R_00165,NODE_0066,NODE_0174,Sea,3007,762,0.16,6840,158
R_00166,NODE_0072,NODE_0056,Sea,6078,248,0.21,14962,158
R_00167,NODE_0051,NODE_0172,Rail,5385,379,0.4,16315,210
R_00168,NODE_0249,NODE_0162,Truck,11686,1250,0.59,13692,65
R_00169,NODE_0089,NODE_0193,Rail,11380,703,0.27,2058,187
R_00170,NODE_0293,NODE_0200,Sea,630,472,0.24,9238,171
R_00171,NODE_0289,NODE_0053,Rail,2404,778,0.36,9798,96
R_00172,NODE_0163,NODE_0085,Sea,1553,1472,0.25,13001,122
R_00173,NODE_0005,NODE_0135,Truck,4188,238,0.52,5540,192
R_00174,NODE_0000,NODE_0024,Rail,7279,959,0.4,15566,134
R_00175,NODE_0193,NODE_0179,Sea,6249,307,0.27,9391,49
R_00176,NODE_0231,NODE_0037,Truck,4931,141,0.51,5431,26
R_00177,NODE_0175,NODE_0087,Rail,2736,253,0.33,5050,94
R_00178,NODE_0247,NODE_0015,Rail,10809,437,0.34,16227,48
R_00179,NODE_0027,NODE_0051,Rail,3467,489,0.31,19698,75
R_00180,NODE_0144,NODE_0152,Truck,1671,201,0.53,18087,47
R_00181,NODE_0027,NODE_0184,Truck,7105,279,0.51,17739,59
R_00182,NODE_0049,NODE_0013,Truck,2898,1407,0.51,4684,129
R_00183,NODE_0059,NODE_0157,Rail,7815,1101,0.38,10683,31
R_00184,NODE_0278,NODE_0198,Truck,6178,881,0.52,16607,19
R_00185,NODE_0134,NODE_0225,Rail,4415,563,0.38,4019,46
R_00186,NODE_0049,NODE_0043,Sea,5732,1208,0.21,9455,149
R_00187,NODE_0031,NODE_0198,Sea,6958,1196,0.25,17559,154
R_00188,NODE_0120,NODE_0243,Rail,1393,908,0.39,3137,136
R_00189,NODE_0292,NODE_0264,Sea,11200,1370,0.17,16714,52
R_00190,NODE_0085,NODE_0108,Truck,2167,187,0.53,16266,59
R_00191,NODE_0075,NODE_0132,Rail,1197,278,0.31,15020,149
R_00192,NODE_0166,NODE_0141,Sea,7606,125,0.27,19123,208
R_00193,NODE_0214,NODE_0057,Rail,2551,403,0.33,5283,35
R_00194,NODE_0288,NODE_0051,Rail,8875,804,0.38,10655,106
R_00195,NODE_0248,NODE_0292,Sea,7850,176,0.18,15204,44
R_00196,NODE_0205,NODE_0019,Rail,5531,586,0.26,17571,76
R_00197,NODE_0190,NODE_0010,Rail,5065,736,0.29,18109,227
R_00198,NODE_0050,NODE_0116,Truck,5023,1007,0.6,12514,76
R_00199,NODE_0213,NODE_0045,Truck,7337,532,0.63,15342,197
R_00200,NODE_0248,NODE_0264,Rail,1020,1155,0.37,4150,87
R_00201,NODE_0259,NODE_0206,Truck,8689,1264,0.46,8316,232
R_00202,NODE_0102,NODE_0029,Truck,641,1034,0.46,13808,188
R_00203,NODE_0101,NODE_0140,Rail,7705,1134,0.31,6059,182
R_00204,NODE_0015,NODE_0123,Rail,8108,1316,0.32,17551,158
R_00205,NODE_0282,NODE_0179,Rail,2779,629,0.36,4961,80
R_00206,NODE_0014,NODE_0197,Truck,2769,1271,0.61,9022,227
R_00207,NODE_0113,NODE_0115,Sea,3487,651,0.25,18819,13
R_00208,NODE_0004,NODE_0242,Truck,10706,454,0.57,2277,65
R_00209,NODE_0129,NODE_0156,Sea,11722,1416,0.19,14336,226
R_00210,NODE_0178,NODE_0235,Rail,3675,1055,0.3,19060,219
R_00211,NODE_0203,NODE_0299,Truck,220,1147,0.65,14262,151
R_00212,NODE_0144,NODE_0152,Sea,1871,1086,0.16,11059,171
R_00213,NODE_0166,NODE_0141,Rail,10849,1434,0.29,6912,140
R_00214,NODE_0123,NODE_0029,Sea,6720,1452,0.2,6585,192
R_00215,NODE_0013,NODE_0254,Rail,4350,957,0.31,3157,157
R_00216,NODE_0292,NODE_0097,Rail,11787,555,0.35,17588,240
R_00217,NODE_0183,NODE_0259,Rail,2885,1446,0.38,7935,83
R_00218,NODE_0049,NODE_0241,Truck,4337,1244,0.6,7998,182
R_00219,NODE_0171,NODE_0045,Truck,5920,557,0.6,12062,115
R_00220,NODE_0169,NODE_0190,Rail,9693,702,0.32,5859,128
R_00221,NODE_0027,NODE_0298,Sea,10268,245,0.22,8374,136
R_00222,NODE_0061,NODE_0195,Sea,4988,946,0.16,6940,43
R_00223,NODE_0102,NODE_0175,Rail,9429,1037,0.27,7909,207
R_00224,NODE_0041,NODE_0249,Rail,10438,462,0.3,3900,9
R_00225,NODE_0231,NODE_0140,Truck,2862,1280,0.6,18042,209
R_00226,NODE_0045,NODE_0066,Sea,7205,1397,0.21,16058,130
R_00227,NODE_0196,NODE_0002,Truck,8845,508,0.6,2461,236
R_00228,NODE_0164,NODE_0271,Truck,393,1485,0.45,10153,65
R_00229,NODE_0176,NODE_0159,Truck,1782,885,0.55,12030,50
R_00230,NODE_0033,NODE_0023,Rail,4864,1033,0.36,19174,94
R_00231,NODE_0222,NODE_0068,Rail,8131,835,0.36,7402,240
R_00232,NODE_0206,NODE_0009,Truck,3775,368,0.49,2718,158
R_00233,NODE_0258,NODE_0086,Truck,6106,1432,0.61,14294,232
R_00234,NODE_0130,NODE_0273,Sea,896,1316,0.3,5542,175
R_00235,NODE_0010,NODE_0024,Sea,1997,953,0.22,6049,148
R_00236,NODE_0129,NODE_0242,Sea,2608,520,0.25,2304,85
R_00237,NODE_0215,NODE_0051,Sea,8624,652,0.24,6494,115
R_00238,NODE_0053,NODE_0261,Sea,10220,341,0.19,5482,135
R_00239,NODE_0101,NODE_0102,Rail,8671,513,0.3,15426,83
R_00240,NODE_0082,NODE_0020,Sea,8232,525,0.25,17750,92
R_00241,NODE_0120,NODE_0001,Truck,11104,282,0.63,18190,46
R_00242,NODE_0046,NODE_0261,Truck,11954,307,0.63,9574,124
R_00243,NODE_0151,NODE_0135,Rail,920,304,0.37,3292,226
R_00244,NODE_0148,NODE_0184,Sea,5223,972,0.26,5112,225
R_00245,NODE_0023,NODE_0004,Truck,10968,1425,0.48,13715,236
R_00246,NODE_0224,NODE_0137,Sea,1622,863,0.27,7992,37
R_00247,NODE_0205,NODE_0204,Rail,4553,889,0.35,17671,212
R_00248,NODE_0215,NODE_0085,Truck,2271,220,0.65,7223,34
R_00249,NODE_0213,NODE_0247,Sea,11214,997,0.18,14443,207
R_00250,NODE_0183,NODE_0014,Sea,2240,1089,0.29,5700,235
R_00251,NODE_0210,NODE_0225,Truck,1137,635,0.58,2405,188
R_00252,NODE_0268,NODE_0295,Sea,9357,558,0.3,13085,140
R_00253,NODE_0267,NODE_0048,Rail,10941,609,0.32,14611,46
R_00254,NODE_0285,NODE_0027,Truck,10641,421,0.55,17377,226
R_00255,NODE_0253,NODE_0084,Truck,8155,756,0.5,11114,20
R_00256,NODE_0259,NODE_0114,Sea,10640,875,0.21,9700,28
R_00257,NODE_0235,NODE_0227,Sea,7441,280,0.28,16649,88
R_00258,NODE_0060,NODE_0254,Sea,10804,136,0.17,15511,17
R_00259,NODE_0285,NODE_0281,Truck,1589,1337,0.64,11981,235
R_00260,NODE_0260,NODE_0287,Truck,10824,1475,0.54,13169,101
R_00261,NODE_0027,NODE_0114,Rail,5539,1247,0.37,17503,191
R_00262,NODE_0186,NODE_0231,Truck,1696,1449,0.49,13185,98
R_00263,NODE_0149,NODE_0280,Sea,6225,317,0.16,7379,134
R_00264,NODE_0071,NODE_0209,Truck,4266,1351,0.49,5956,226
R_00265,NODE_0201,NODE_0110,Rail,3222,792,0.27,15581,19
R_00266,NODE_0063,NODE_0230,Rail,10888,1306,0.39,6411,135
R_00267,NODE_0002,NODE_0271,Sea,895,1233,0.29,17824,138
R_00268,NODE_0090,NODE_0296,Truck,2203,312,0.53,12546,137
R_00269,NODE_0196,NODE_0214,Sea,11446,608,0.19,13234,83
R_00270,NODE_0231,NODE_0068,Truck,6862,1333,0.59,18786,84
R_00271,NODE_0280,NODE_0160,Sea,9169,1395,0.18,8871,167
R_00272,NODE_0148,NODE_0176,Sea,2273,1431,0.3,7826,136
R_00273,NODE_0277,NODE_0165,Sea,1990,821,0.23,15679,180
R_00274,NODE_0273,NODE_0146,Rail,309,1170,0.27,14480,45
R_00275,NODE_0027,NODE_0028,Truck,4474,429,0.65,10210,45
R_00276,NODE_0031,NODE_0151,Truck,8966,166,0.52,16830,34
R_00277,NODE_0287,NODE_0114,Sea,10702,1249,0.21,18741,208
R_00278,NODE_0147,NODE_0024,Rail,6449,953,0.39,12245,149
R_00279,NODE_0027,NODE_0006,Sea,4217,515,0.24,16518,220
R_00280,NODE_0115,NODE_0188,Sea,9055,1335,0.18,8340,83
R_00281,NODE_0229,NODE_0090,Sea,1320,482,0.29,18837,38
R_00282,NODE_0193,NODE_0020,Rail,4672,1239,0.29,7273,157
R_00283,NODE_0130,NODE_0002,Rail,7740,417,0.26,12571,160
R_00284,NODE_0026,NODE_0154,Rail,9482,1226,0.3,12415,142
R_00285,NODE_0112,NODE_0094,Sea,1217,1134,0.17,19795,145
R_00286,NODE_0206,NODE_0047,Rail,3724,536,0.35,12848,100
R_00287,NODE_0150,NODE_0111,Sea,8791,1072,0.3,2288,37
R_00288,NODE_0177,NODE_0228,Truck,10622,1356,0.63,9989,18
R_00289,NODE_0164,NODE_0195,Truck,6422,625,0.56,11267,14
R_00290,NODE_0264,NODE_0191,Sea,8435,1012,0.22,11713,237
R_00291,NODE_0098,NODE_0164,Sea,1449,296,0.18,19628,144
R_00292,NODE_0003,NODE_0033,Truck,11082,1389,0.6,15900,221
R_00293,NODE_0053,NODE_0105,Sea,11613,991,0.25,4363,199
R_00294,NODE_0078,NODE_0012,Rail,11845,779,0.26,4400,21
R_00295,NODE_0091,NODE_0128,Sea,1254,1277,0.27,10475,112
R_00296,NODE_0198,NODE_0230,Sea,6726,986,0.2,14763,180
R_00297,NODE_0060,NODE_0273,Truck,10609,1366,0.46,3491,187
R_00298,NODE_0037,NODE_0183,Sea,1838,693,0.27,11874,163
R_00299,NODE_0044,NODE_0144,Rail,6349,909,0.37,3009,129
R_00300,NODE_0080,NODE_0273,Truck,2334,900,0.61,19882,83
R_00301,NODE_0073,NODE_0152,Sea,10715,864,0.29,2365,149
R_00302,NODE_0284,NODE_0072,Truck,784,110,0.56,14913,145
R_00303,NODE_0280,NODE_0043,Rail,3541,804,0.28,18795,44
R_00304,NODE_0082,NODE_0094,Truck,10207,617,0.49,7942,179
R_00305,NODE_0290,NODE_0027,Sea,7657,1420,0.23,11524,179
R_00306,NODE_0034,NODE_0128,Truck,3334,1289,0.55,12841,99
R_00307,NODE_0065,NODE_0120,Truck,4771,1368,0.46,8340,89
R_00308,NODE_0248,NODE_0230,Rail,10198,1450,0.3,6993,152
R_00309,NODE_0290,NODE_0186,Rail,7117,445,0.25,10066,209
R_00310,NODE_0113,NODE_0223,Rail,5989,375,0.35,12864,232
R_00311,NODE_0245,NODE_0236,Rail,5977,725,0.32,5566,52
R_00312,NODE_0041,NODE_0143,Truck,8924,502,0.5,4505,194
R_00313,NODE_0038,NODE_0009,Sea,10448,163,0.27,15275,204
R_00314,NODE_0108,NODE_0018,Sea,4369,1213,0.28,19684,128
R_00315,NODE_0076,NODE_0187,Rail,3758,1307,0.36,11535,42
R_00316,NODE_0237,NODE_0256,Sea,1583,912,0.2,2347,177
R_00317,NODE_0122,NODE_0084,Sea,2399,1013,0.17,6790,196
R_00318,NODE_0247,NODE_0183,Truck,3685,1098,0.5,10662,102
R_00319,NODE_0119,NODE_0021,Sea,3487,1160,0.29,13837,107
R_00320,NODE_0240,NODE_0232,Truck,753,1428,0.51,19084,170
R_00321,NODE_0140,NODE_0134,Sea,9018,1267,0.18,14403,101
R_00322,NODE_0039,NODE_0264,Rail,6265,556,0.33,13563,217
R_00323,NODE_0176,NODE_0249,Rail,9999,113,0.33,6553,120
R_00324,NODE_0084,NODE_0117,Truck,8530,1417,0.51,6923,55
R_00325,NODE_0080,NODE_0185,Sea,11852,342,0.25,15586,215
R_00326,NODE_0169,NODE_0058,Rail,11162,1080,0.32,7283,173
R_00327,NODE_0210,NODE_0011,Truck,806,361,0.56,7279,42
R_00328,NODE_0262,NODE_0020,Sea,2506,214,0.17,7899,140
R_00329,NODE_0207,NODE_0288,Sea,405,1455,0.27,4809,63
R_00330,NODE_0229,NODE_0241,Rail,2894,549,0.37,6676,211
R_00331,NODE_0298,NODE_0093,Sea,10907,1146,0.19,13228,124
R_00332,NODE_0035,NODE_0117,Rail,6415,370,0.27,8630,141
R_00333,NODE_0258,NODE_0214,Truck,10020,297,0.49,3279,232
R_00334,NODE_0272,NODE_0257,Truck,1626,1087,0.58,19671,219
R_00335,NODE_0000,NODE_0220,Sea,6992,858,0.28,19361,117
R_00336,NODE_0117,NODE_0246,Rail,5842,1306,0.37,5201,116
R_00337,NODE_0068,NODE_0130,Rail,3909,271,0.29,19816,112
R_00338,NODE_0131,NODE_0096,Truck,11718,114,0.57,5861,141
R_00339,NODE_0003,NODE_0192,Sea,3465,746,0.21,5492,47
R_00340,NODE_0218,NODE_0299,Rail,4381,1197,0.31,13981,164
R_00341,NODE_0141,NODE_0203,Truck,6870,1230,0.61,17809,53
R_00342,NODE_0189,NODE_0286,Sea,8025,619,0.3,13283,206
R_00343,NODE_0203,NODE_0070,Sea,2051,570,0.22,7301,33
R_00344,NODE_0109,NODE_0260,Rail,5644,1227,0.34,3705,49
R_00345,NODE_0199,NODE_0002,Truck,2481,1065,0.64,16266,30
R_00346,NODE_0032,NODE_0134,Truck,6175,263,0.57,14593,110
R_00347,NODE_0266,NODE_0146,Sea,9888,217,0.29,7743,171
R_00348,NODE_0253,NODE_0224,Truck,3404,1445,0.64,18978,81
R_00349,NODE_0099,NODE_0017,Sea,8464,1156,0.25,7553,180
R_00350,NODE_0018,NODE_0184,Truck,10831,100,0.65,4845,78
R_00351,NODE_0204,NODE_0180,Sea,6574,930,0.24,18965,11
R_00352,NODE_0035,NODE_0046,Sea,4761,1245,0.29,13406,96
R_00353,NODE_0141,NODE_0115,Sea,3287,1031,0.29,2152,74
R_00354,NODE_0089,NODE_0208,Sea,1844,1244,0.16,11642,95
R_00355,NODE_0059,NODE_0262,Rail,8913,1277,0.29,16508,104
R_00356,NODE_0288,NODE_0247,Truck,5665,1039,0.59,2896,131
R_00357,NODE_0059,NODE_0132,Truck,6369,1397,0.61,9221,181
R_00358,NODE_0117,NODE_0161,Rail,5885,1157,0.33,10629,71
R_00359,NODE_0147,NODE_0047,Rail,11137,800,0.26,7848,129
R_00360,NODE_0160,NODE_0181,Truck,9499,651,0.49,8231,135
R_00361,NODE_0102,NODE_0120,Sea,4065,643,0.18,8644,221
R_00362,NODE_0127,NODE_0182,Truck,1847,345,0.63,18143,165
R_00363,NODE_0003,NODE_0277,Truck,8001,860,0.57,18133,237
R_00364,NODE_0294,NODE_0140,Rail,3096,1146,0.29,9277,200
R_00365,NODE_0295,NODE_0065,Truck,8713,966,0.55,19719,16
R_00366,NODE_0257,NODE_0177,Rail,11344,457,0.32,5944,186
R_00367,NODE_0265,NODE_0235,Rail,11392,117,0.25,8905,105
R_00368,NODE_0297,NODE_0051,Rail,6024,1354,0.38,8132,148
R_00369,NODE_0134,NODE_0121,Rail,7822,1355,0.3,8026,135
R_00370,NODE_0217,NODE_0107,Rail,11580,862,0.3,15126,79
R_00371,NODE_0230,NODE_0092,Sea,2248,1279,0.25,5272,192
