shipment_id,origin_node_id,destination_node_id,volume_units,priority_level,baseline_cost_usd
S_000122,NODE_0174,NODE_0015,18,Low,3827
S_000123,NODE_0183,NODE_0278,22,Low,4056
S_000124,NODE_0136,NODE_0047,26,High,3632
S_000125,NODE_0293,NODE_0193,12,Medium,1096
S_000126,NODE_0110,NODE_0007,18,Medium,3989
S_000127,NODE_0050,NODE_0074,25,Low,4829
S_000128,NODE_0160,NODE_0292,11,Low,2563
S_000129,NODE_0098,NODE_0136,13,High,1720
S_000130,NODE_0123,NODE_0159,28,High,2727
S_000131,NODE_0020,NODE_0015,27,Low,4419
S_000132,NODE_0114,NODE_0000,1,High,4709
S_000133,NODE_0222,NODE_0200,30,Medium,1012
S_000134,NODE_0028,NODE_0059,27,Medium,4627
S_000135,NODE_0103,NODE_0038,3,High,2083
S_000136,NODE_0171,NODE_0013,2,Low,3573
S_000137,NODE_0270,NODE_0028,20,High,2787
S_000138,NODE_0041,NODE_0150,21,High,1099
S_000139,NODE_0164,NODE_0027,15,Medium,1951
S_000140,NODE_0267,NODE_0100,28,High,4131
S_000141,NODE_0210,NODE_0073,2,High,3517
S_000142,NODE_0112,NODE_0143,9,Low,4557
S_000143,NODE_0225,NODE_0226,20,Medium,3700
S_000144,NODE_0083,NODE_0029,23,Medium,1644
S_000145,NODE_0206,NODE_0210,22,Low,1623
S_000146,NODE_0176,NODE_0009,18,Low,4531
S_000147,NODE_0242,NODE_0196,30,Low,1818
S_000148,NODE_0289,NODE_0034,25,Medium,686
S_000149,NODE_0203,NODE_0268,22,High,2652
S_000150,NODE_0034,NODE_0099,7,Low,4218
S_000151,NODE_0118,NODE_0045,30,Low,3073
S_000152,NODE_0183,NODE_0087,7,Medium,3787
S_000153,NODE_0055,NODE_0239,18,Low,4303
S_000154,NODE_0005,NODE_0104,28,Low,1332
S_000155,NODE_0040,NODE_0083,1,Medium,1422
S_000156,NODE_0112,NODE_0216,8,High,3103
S_000157,NODE_0067,NODE_0239,16,High,3325
S_000158,NODE_0192,NODE_0062,7,Low,4165
S_000159,NODE_0038,NODE_0279,10,Medium,2667
S_000160,NODE_0025,NODE_0086,28,High,3146
S_000161,NODE_0024,NODE_0072,28,Medium,2908
S_000162,NODE_0261,NODE_0022,27,Low,4032
S_000163,NODE_0141,NODE_0145,2,Low,4200
S_000164,NODE_0104,NODE_0128,27,Low,3763
S_000165,NODE_0240,NODE_0273,4,Low,4294
S_000166,NODE_0255,NODE_0262,6,Low,1115
S_000167,NODE_0007,NODE_0082,21,Low,4526
S_000168,NODE_0274,NODE_0093,4,High,2084
S_000169,NODE_0133,NODE_0265,30,Medium,1905
S_000170,NODE_0293,NODE_0279,11,High,4524
S_000171,NODE_0224,NODE_0119,25,Medium,2397
S_000172,NODE_0276,NODE_0124,29,Low,4721
S_000173,NODE_0090,NODE_0278,22,Medium,3845
S_000174,NODE_0014,NODE_0173,8,High,4183
S_000175,NODE_0011,NODE_0252,26,High,4961
S_000176,NODE_0219,NODE_0206,22,Low,4215
S_000177,NODE_0244,NODE_0031,13,Medium,2432
S_000178,NODE_0207,NODE_0265,25,Low,626
S_000179,NODE_0186,NODE_0001,13,High,1676
S_000180,NODE_0043,NODE_0087,6,Low,3361
S_000181,NODE_0167,NODE_0081,3,Medium,3498
S_000182,NODE_0007,NODE_0171,18,Medium,1359
S_000183,NODE_0135,NODE_0207,19,Low,1096
S_000184,NODE_0267,NODE_0089,3,High,1636
S_000185,NODE_0167,NODE_0290,13,Medium,823
S_000186,NODE_0285,NODE_0273,25,High,2699
S_000187,NODE_0120,NODE_0220,20,High,4938
S_000188,NODE_0147,NODE_0279,28,Low,1797
S_000189,NODE_0064,NODE_0019,28,Medium,777
S_000190,NODE_0117,NODE_0277,14,High,2554
S_000191,NODE_0259,NODE_0149,21,Low,2942
S_000192,NODE_0172,NODE_0262,18,High,1040
S_000193,NODE_0043,NODE_0145,12,Medium,4970
S_000194,NODE_0259,NODE_0234,26,Low,4115
S_000195,NODE_0046,NODE_0182,30,Low,2427
S_000196,NODE_0278,NODE_0205,15,Medium,4412
S_000197,NODE_0100,NODE_0276,25,High,2029
S_000198,NODE_0013,NODE_0231,9,Medium,1138
S_000199,NODE_0032,NODE_0236,16,High,4859
S_000200,NODE_0252,NODE_0196,18,Low,4075
S_000201,NODE_0258,NODE_0254,23,Low,1560
S_000202,NODE_0163,NODE_0264,19,Low,4546
S_000203,NODE_0019,NODE_0272,11,High,4795
S_000204,NODE_0000,NODE_0204,21,Low,2445
S_000205,NODE_0188,NODE_0026,23,Medium,744
S_000206,NODE_0184,NODE_0199,13,High,3218
S_000207,NODE_0233,NODE_0291,2,Low,1522
S_000208,NODE_0085,NODE_0143,29,High,1941
S_000209,NODE_0175,NODE_0191,9,Medium,1995
S_000210,NODE_0268,NODE_0201,15,High,3728
S_000211,NODE_0100,NODE_0071,12,High,2909
S_000212,NODE_0095,NODE_0126,21,Low,4863
S_000213,NODE_0294,NODE_0137,26,Medium,2320
S_000214,NODE_0099,NODE_0279,29,High,1344
S_000215,NODE_0174,NODE_0207,6,Medium,1152
S_000216,NODE_0167,NODE_0095,18,Medium,4459
S_000217,NODE_0091,NODE_0175,13,Low,1907
S_000218,NODE_0206,NODE_0113,28,High,2320
S_000219,NODE_0175,NODE_0271,20,High,3531
S_000220,NODE_0052,NODE_0114,28,High,1370
S_000221,NODE_0286,NODE_0200,12,Medium,710
S_000222,NODE_0250,NODE_0265,9,Medium,3157
S_000223,NODE_0008,NODE_0164,25,Medium,2853
S_000224,NODE_0133,NODE_0114,1,Low,3011
S_000225,NODE_0061,NODE_0262,27,High,1110
S_000226,NODE_0057,NODE_0246,20,Medium,1850
S_000227,NODE_0024,NODE_0101,17,High,3232
S_000228,NODE_0297,NODE_0120,9,Low,1204
S_000229,NODE_0186,NODE_0107,13,Medium,1222
S_000230,NODE_0166,NODE_0150,15,Low,3176
S_000231,NODE_0167,NODE_0103,4,Low,1921
S_000232,NODE_0187,NODE_0109,27,Medium,4398
S_000233,NODE_0268,NODE_0049,8,Medium,4164
S_000234,NODE_0162,NODE_0023,1,High,2677
S_000235,NODE_0076,NODE_0055,10,Low,788
S_000236,NODE_0181,NODE_0090,15,Medium,4835
S_000237,NODE_0062,NODE_0268,16,High,992
S_000238,NODE_0067,NODE_0244,1,Medium,3457
S_000239,NODE_0066,NODE_0120,28,High,4815
S_000240,NODE_0285,NODE_0178,13,Low,1621
S_000241,NODE_0169,NODE_0285,26,Medium,3908
S_000242,NODE_0029,NODE_0166,28,High,4648
S_000243,NODE_0212,NODE_0230,18,Medium,2789
S_000244,NODE_0152,NODE_0085,5,Medium,3267
S_000245,NODE_0261,NODE_0172,24,High,2790
S_000246,NODE_0277,NODE_0173,24,High,3956
S_000247,NODE_0186,NODE_0162,26,High,2859
S_000248,NODE_0091,NODE_0257,5,Medium,1472
S_000249,NODE_0042,NODE_0219,11,Low,1615
S_000250,NODE_0003,NODE_0020,2,Low,3013
S_000251,NODE_0190,NODE_0117,19,High,2401
S_000252,NODE_0037,NODE_0121,5,High,1448
S_000253,NODE_0166,NODE_0162,3,Low,545
S_000254,NODE_0165,NODE_0174,16,Low,4774
S_000255,NODE_0104,NODE_0217,18,High,1992
S_000256,NODE_0051,NODE_0145,10,Medium,4758
S_000257,NODE_0268,NODE_0196,13,High,4519
S_000258,NODE_0073,NODE_0255,28,High,2319
S_000259,NODE_0216,NODE_0229,29,High,4113
S_000260,NODE_0149,NODE_0211,5,High,552
S_000261,NODE_0066,NODE_0187,28,High,1873
S_000262,NODE_0188,NODE_0147,7,Low,4807
S_000263,NODE_0111,NODE_0088,23,High,1367
S_000264,NODE_0068,NODE_0097,27,Low,1534
S_000265,NODE_0102,NODE_0073,29,High,558
S_000266,NODE_0156,NODE_0047,2,Medium,566
S_000267,NODE_0046,NODE_0266,8,Medium,2649
S_000268,NODE_0250,NODE_0081,7,High,4294
S_000269,NODE_0176,NODE_0012,18,Low,4363
S_000270,NODE_0206,NODE_0265,23,Low,4235
S_000271,NODE_0090,NODE_0092,29,Medium,4432
S_000272,NODE_0237,NODE_0164,9,High,3475
S_000273,NODE_0287,NODE_0136,16,Low,3604
S_000274,NODE_0079,NODE_0292,2,Medium,1666
S_000275,NODE_0046,NODE_0261,27,High,4215
S_000276,NODE_0195,NODE_0283,8,High,1337
S_000277,NODE_0200,NODE_0027,18,Low,4100
S_000278,NODE_0061,NODE_0240,6,Low,4245
S_000279,NODE_0110,NODE_0101,15,High,2279
S_000280,NODE_0289,NODE_0298,6,Low,3169
S_000281,NODE_0093,NODE_0088,5,High,2253
S_000282,NODE_0210,NODE_0087,4,High,3998
S_000283,NODE_0167,NODE_0299,3,High,2983
S_000284,NODE_0120,NODE_0283,18,Low,2437
S_000285,NODE_0085,NODE_0166,21,Medium,2503
S_000286,NODE_0295,NODE_0276,7,Medium,3023
S_000287,NODE_0136,NODE_0213,4,Medium,4293
S_000288,NODE_0252,NODE_0112,6,Medium,2874
S_000289,NODE_0126,NODE_0010,19,Medium,2638
S_000290,NODE_0129,NODE_0295,26,Medium,1454
S_000291,NODE_0092,NODE_0228,20,High,4094
S_000292,NODE_0001,NODE_0095,19,Low,4105
S_000293,NODE_0035,NODE_0082,2,Medium,2519
S_000294,NODE_0239,NODE_0269,30,Medium,1421
S_000295,NODE_0109,NODE_0251,23,Medium,1632
S_000296,NODE_0296,NODE_0285,30,High,2490
S_000297,NODE_0066,NODE_0076,1,High,1307
S_000298,NODE_0068,NODE_0186,13,High,944
S_000299,NODE_0280,NODE_0096,6,Low,864
S_000300,NODE_0135,NODE_0283,16,High,4314
S_000301,NODE_0265,NODE_0257,17,High,4091
S_000302,NODE_0178,NODE_0107,23,High,3549
S_000303,NODE_0263,NODE_0182,6,Low,4882
S_000304,NODE_0201,NODE_0031,26,Low,2154
S_000305,NODE_0008,NODE_0142,10,Low,3677
S_000306,NODE_0041,NODE_0293,28,High,3127
S_000307,NODE_0056,NODE_0235,3,Medium,1835
S_000308,NODE_0107,NODE_0292,29,Low,687
S_000309,NODE_0076,NODE_0295,6,High,3352
S_000310,NODE_0012,NODE_0047,10,Low,4415
S_000311,NODE_0141,NODE_0261,7,Low,2108
S_000312,NODE_0002,NODE_0295,14,Medium,1177
S_000313,NODE_0107,NODE_0255,3,High,1443
S_000314,NODE_0074,NODE_0203,2,High,1736
S_000315,NODE_0077,NODE_0059,7,Low,1467
S_000316,NODE_0235,NODE_0209,15,High,1643
S_000317,NODE_0027,NODE_0058,20,High,1231
S_000318,NODE_0059,NODE_0057,13,Medium,1356
S_000319,NODE_0066,NODE_0092,2,Low,761
S_000320,NODE_0228,NODE_0069,24,Medium,4834
S_000321,NODE_0224,NODE_0127,7,High,2253
S_000322,NODE_0018,NODE_0150,19,Low,4034
S_000323,NODE_0194,NODE_0172,7,High,609
S_000324,NODE_0091,NODE_0233,21,High,2969
S_000325,NODE_0266,NODE_0053,5,Medium,1942
S_000326,NODE_0051,NODE_0046,10,Low,3734
S_000327,NODE_0268,NODE_0071,30,Medium,571
S_000328,NODE_0295,NODE_0167,5,Low,2848
S_000329,NODE_0192,NODE_0065,1,High,2086
S_000330,NODE_0187,NODE_0179,24,Medium,1040
S_000331,NODE_0000,NODE_0109,23,High,3328
S_000332,NODE_0065,NODE_0298,16,Low,1296
S_000333,NODE_0117,NODE_0232,4,Low,2756
S_000334,NODE_0097,NODE_0217,30,Medium,3175
S_000335,NODE_0276,NODE_0187,13,Medium,1567
S_000336,NODE_0108,NODE_0013,9,Low,1779
S_000337,NODE_0013,NODE_0072,16,Low,3960
S_000338,NODE_0063,NODE_0185,20,Low,4426
S_000339,NODE_0118,NODE_0285,16,Medium,994
S_000340,NODE_0085,NODE_0031,15,High,1199
S_000341,NODE_0220,NODE_0218,28,High,683
S_000342,NODE_0211,NODE_0116,5,Low,2805
S_000343,NODE_0271,NODE_0054,11,Medium,2638
S_000344,NODE_0081,NODE_0003,8,High,2838
S_000345,NODE_0016,NODE_0127,2,Low,638
S_000346,NODE_0185,NODE_0207,16,High,4198
S_000347,NODE_0188,NODE_0216,29,Medium,1031
S_000348,NODE_0189,NODE_0226,19,High,3351
S_000349,NODE_0190,NODE_0145,14,Low,2516
S_000350,NODE_0128,NODE_0245,27,Low,1621
S_000351,NODE_0128,NODE_0236,14,Low,1405
S_000352,NODE_0022,NODE_0284,2,Low,4712
S_000353,NODE_0062,NODE_0019,7,Low,3879
S_000354,NODE_0283,NODE_0117,4,Medium,3765
S_000355,NODE_0141,NODE_0046,16,Low,3971
S_000356,NODE_0264,NODE_0021,18,Low,4734
S_000357,NODE_0049,NODE_0187,15,Low,1713
S_000358,NODE_0015,NODE_0055,11,High,998
S_000359,NODE_0237,NODE_0043,7,High,847
S_000360,NODE_0209,NODE_0231,4,Low,941
S_000361,NODE_0236,NODE_0117,11,Low,891
S_000362,NODE_0147,NODE_0184,17,Medium,4530
S_000363,NODE_0153,NODE_0102,26,Medium,1933
S_000364,NODE_0058,NODE_0100,1,Low,4064
S_000365,NODE_0093,NODE_0178,18,High,3410
S_000366,NODE_0228,NODE_0218,23,Medium,2578
S_000367,NODE_0254,NODE_0015,7,Low,544
S_000368,NODE_0170,NODE_0101,22,Low,3797
S_000369,NODE_0080,NODE_0225,30,Medium,4083
S_000370,NODE_0201,NODE_0223,27,Low,1146
S_000371,NODE_0180,NODE_0299,3,High,2470
S_000372,NODE_0070,NODE_0243,1,Low,971
S_000373,NODE_0136,NODE_0206,14,Medium,1320
S_000374,NODE_0159,NODE_0169,21,High,704
S_000375,NODE_0034,NODE_0059,2,Medium,4478
S_000376,NODE_0239,NODE_0063,30,Medium,805
S_000377,NODE_0010,NODE_0134,19,Low,4955
S_000378,NODE_0282,NODE_0034,27,High,2708
S_000379,NODE_0293,NODE_0001,11,Low,1038
S_000380,NODE_0162,NODE_0088,2,Medium,4611
S_000381,NODE_0019,NODE_0152,21,High,4570
S_000382,NODE_0202,NODE_0270,16,High,2332
S_000383,NODE_0033,NODE_0101,15,High,4096
S_000384,NODE_0061,NODE_0212,13,High,2897
S_000385,NODE_0052,NODE_0210,30,Medium,1315
S_000386,NODE_0076,NODE_0110,16,Medium,902
S_000387,NODE_0248,NODE_0245,19,Medium,2533
S_000388,NODE_0119,NODE_0089,25,Medium,4079
S_000389,NODE_0093,NODE_0107,24,High,4722
S_000390,NODE_0148,NODE_0298,19,Low,4154
S_000391,NODE_0007,NODE_0034,23,Medium,1852
S_000392,NODE_0220,NODE_0071,1,Low,4327
S_000393,NODE_0026,NODE_0263,15,High,1905
S_000394,NODE_0054,NODE_0045,14,Low,1797
S_000395,NODE_0014,NODE_0132,4,High,1185
S_000396,NODE_0120,NODE_0189,22,High,4702
S_000397,NODE_0258,NODE_0299,15,Low,1417
S_000398,NODE_0042,NODE_0227,1,High,4903
S_000399,NODE_0257,NODE_0148,30,High,4663
S_000400,NODE_0015,NODE_0036,18,Medium,2630
S_000401,NODE_0155,NODE_0273,5,Low,1485
S_000402,NODE_0231,NODE_0182,17,High,2409
S_000403,NODE_0292,NODE_0225,17,Medium,4085
S_000404,NODE_0005,NODE_0276,6,Low,710
S_000405,NODE_0132,NODE_0276,2,Medium,4385
S_000406,NODE_0163,NODE_0242,22,Low,1973
S_000407,NODE_0096,NODE_0194,19,Low,2953
S_000408,NODE_0206,NODE_0046,25,High,1188
S_000409,NODE_0080,NODE_0261,29,Medium,2715
S_000410,NODE_0084,NODE_0216,18,High,1732
S_000411,NODE_0237,NODE_0200,19,High,4408
S_000412,NODE_0025,NODE_0136,2,High,3405
S_000413,NODE_0117,NODE_0060,9,Low,3969
S_000414,NODE_0057,NODE_0181,14,Low,4549
S_000415,NODE_0282,NODE_0127,6,Medium,2827
S_000416,NODE_0283,NODE_0285,8,Medium,3591
S_000417,NODE_0181,NODE_0054,25,Medium,3761
S_000418,NODE_0093,NODE_0149,21,Low,3954
S_000419,NODE_0144,NODE_0192,13,High,2536
S_000420,NODE_0135,NODE_0219,1,Medium,4211
S_000421,NODE_0261,NODE_0159,5,Low,4136
S_000422,NODE_0005,NODE_0078,18,Medium,1337
S_000423,NODE_0197,NODE_0072,6,Medium,2491
S_000424,NODE_0208,NODE_0140,18,High,1524
S_000425,NODE_0000,NODE_0257,19,Low,2678
S_000426,NODE_0273,NODE_0204,18,High,4610
S_000427,NODE_0116,NODE_0021,29,Medium,1626
S_000428,NODE_0132,NODE_0202,16,Low,4818
S_000429,NODE_0227,NODE_0294,3,Medium,680
S_000430,NODE_0032,NODE_0045,10,Low,2256
S_000431,NODE_0057,NODE_0127,12,High,1837
S_000432,NODE_0104,NODE_0208,4,Low,2247
S_000433,NODE_0243,NODE_0208,29,Low,3299
S_000434,NODE_0095,NODE_0127,2,Medium,3131
S_000435,NODE_0284,NODE_0261,4,Medium,3223
S_000436,NODE_0011,NODE_0084,12,Medium,2974
S_000437,NODE_0253,NODE_0074,9,Low,1297
S_000438,NODE_0219,NODE_0162,21,Low,2083
S_000439,NODE_0148,NODE_0140,1,High,3911
S_000440,NODE_0205,NODE_0032,16,High,4466
S_000441,NODE_0033,NODE_0264,5,High,2619
S_000442,NODE_0275,NODE_0293,25,High,842
S_000443,NODE_0279,NODE_0277,30,High,523
S_000444,NODE_0205,NODE_0236,27,High,1691
S_000445,NODE_0049,NODE_0139,3,Medium,2718
S_000446,NODE_0211,NODE_0264,28,Low,2355
S_000447,NODE_0167,NODE_0094,30,Medium,3584
S_000448,NODE_0135,NODE_0279,14,High,4910
S_000449,NODE_0127,NODE_0297,13,High,4107
S_000450,NODE_0159,NODE_0259,13,High,3058
S_000451,NODE_0046,NODE_0167,11,High,2639
S_000452,NODE_0160,NODE_0025,4,Low,1604
S_000453,NODE_0092,NODE_0029,28,High,4413
S_000454,NODE_0184,NODE_0126,23,Medium,864
S_000455,NODE_0179,NODE_0058,3,Medium,1143
S_000456,NODE_0216,NODE_0031,8,High,4905
S_000457,NODE_0284,NODE_0202,7,Medium,3075
S_000458,NODE_0127,NODE_0210,23,High,1530
S_000459,NODE_0051,NODE_0263,19,Medium,3184
S_000460,NODE_0190,NODE_0028,13,Medium,562
S_000461,NODE_0025,NODE_0012,20,High,2966
S_000462,NODE_0069,NODE_0152,17,High,2549
S_000463,NODE_0091,NODE_0024,10,Medium,3572
S_000464,NODE_0140,NODE_0285,20,Medium,4033
S_000465,NODE_0254,NODE_0210,2,Medium,4070
S_000466,NODE_0134,NODE_0082,1,Medium,3078
S_000467,NODE_0216,NODE_0186,16,Medium,3284
S_000468,NODE_0275,NODE_0014,19,Medium,3027
S_000469,NODE_0163,NODE_0113,7,High,736
S_000470,NODE_0217,NODE_0066,8,Medium,2614
S_000471,NODE_0207,NODE_0195,26,Low,2009
S_000472,NODE_0214,NODE_0172,23,Medium,943
S_000473,NODE_0055,NODE_0203,21,Medium,3342
S_000474,NODE_0117,NODE_0027,1,High,3985
S_000475,NODE_0082,NODE_0095,4,Low,1746
S_000476,NODE_0150,NODE_0092,25,Medium,4007
S_000477,NODE_0244,NODE_0242,10,Medium,1600
S_000478,NODE_0161,NODE_0034,13,Low,1349
S_000479,NODE_0040,NODE_0090,9,High,1318
S_000480,NODE_0047,NODE_0190,30,High,2557
S_000481,NODE_0273,NODE_0264,21,Medium,991
S_000482,NODE_0003,NODE_0274,1,Low,4387
S_000483,NODE_0264,NODE_0202,16,High,4551
S_000484,NODE_0286,NODE_0065,7,Low,1916
S_000485,NODE_0295,NODE_0183,15,Low,2738
S_000486,NODE_0228,NODE_0069,23,Medium,2655
S_000487,NODE_0084,NODE_0217,3,Low,1408
S_000488,NODE_0084,NODE_0027,7,High,2558
S_000489,NODE_0117,NODE_0245,11,Low,4023
S_000490,NODE_0177,NODE_0197,28,High,893
S_000491,NODE_0236,NODE_0283,12,High,1882
S_000492,NODE_0188,NODE_0135,17,Low,3037
S_000493,NODE_0065,NODE_0063,22,High,2405
S_000494,NODE_0257,NODE_0166,29,Medium,3465
S_000495,NODE_0137,NODE_0024,2,High,4016
S_000496,NODE_0130,NODE_0156,21,Medium,2836
S_000497,NODE_0239,NODE_0173,24,Low,2112
S_000498,NODE_0039,NODE_0057,5,Low,1762
S_000499,NODE_0229,NODE_0146,25,High,4524
S_000500,NODE_0043,NODE_0230,15,Medium,2189
S_000501,NODE_0124,NODE_0150,21,High,1862
S_000502,NODE_0250,NODE_0086,1,Low,4914
S_000503,NODE_0194,NODE_0086,27,Low,4389
S_000504,NODE_0181,NODE_0006,21,High,997
S_000505,NODE_0034,NODE_0198,8,Low,2588
S_000506,NODE_0168,NODE_0099,2,Medium,2380
S_000507,NODE_0166,NODE_0279,17,Low,2685
S_000508,NODE_0117,NODE_0169,28,Low,3003
S_000509,NODE_0006,NODE_0018,28,High,1350
S_000510,NODE_0263,NODE_0035,23,Medium,4108
S_000511,NODE_0242,NODE_0258,10,High,1048
S_000512,NODE_0217,NODE_0176,6,Medium,2581
S_000513,NODE_0130,NODE_0184,9,Medium,4002
S_000514,NODE_0027,NODE_0272,7,High,3462
S_000515,NODE_0033,NODE_0243,20,High,2281
S_000516,NODE_0230,NODE_0282,4,Low,3125
S_000517,NODE_0123,NODE_0063,5,High,4239
